,molecule_chembl_id,canonical_smiles,standard_value,target,mol_wt,mol_logp,num_H_don,num_H_acpt
0,CHEMBL177598,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(Cl)cc1O,400.0,active,383.83100000000013,4.4943000000000035,4.0,4.0
1,CHEMBL175216,Cc1ccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c(O)c1,400.0,active,363.41300000000007,4.149320000000004,4.0,4.0
2,CHEMBL52,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,4900.0,intermediate,302.37,3.5664000000000033,4.0,4.0
3,CHEMBL176728,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(-c2ccccc2)cc1O,25000.0,inactive,425.48400000000015,5.507900000000006,4.0,4.0
4,CHEMBL172429,COc1cc(CCc2ccc(NC(=O)c3ccc(C)cc3O)cc2)ccc1O,25000.0,inactive,377.44000000000005,4.452320000000005,3.0,4.0
5,CHEMBL176923,O=C(O)c1ccccc1-c1cccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c1O,25000.0,inactive,469.4930000000002,5.206100000000005,5.0,5.0
6,CHEMBL177098,Cc1ccc(C(=O)N(C)c2ccc(CCc3ccc(O)c(O)c3)cc2)c(O)c1,5000.0,intermediate,377.44000000000005,4.173620000000005,3.0,4.0
7,CHEMBL367410,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccccc1O,300.0,active,349.3860000000001,3.8409000000000026,4.0,4.0
8,CHEMBL177100,O=C(Nc1ccc(CCCCc2ccc(O)c(O)c2)cc1)c1ccccc1O,300.0,active,377.44000000000005,4.6211000000000055,4.0,4.0
9,CHEMBL175315,COc1ccc(CCc2ccc(NC(=O)c3ccccc3O)cc2)cc1OC,25000.0,inactive,377.4400000000001,4.446900000000004,2.0,4.0
10,CHEMBL176689,O=C(Nc1ccc(CCCc2ccc(O)c(O)c2)cc1)c1ccccc1O,300.0,active,363.41300000000007,4.231000000000003,4.0,4.0
11,CHEMBL177171,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(O)cc1O,5000.0,intermediate,365.3850000000001,3.5465000000000013,5.0,5.0
12,CHEMBL173802,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1cc(Br)ccc1O,1500.0,intermediate,428.2820000000001,4.603400000000004,4.0,4.0
13,CHEMBL177055,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1cccc(Cl)c1O,1200.0,intermediate,383.83100000000013,4.4943000000000035,4.0,4.0
14,CHEMBL413350,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc2ccccc2c1O,400.0,active,399.44600000000014,4.994100000000005,4.0,4.0
15,CHEMBL176634,O=C(O)c1cccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c1O,25000.0,inactive,393.39500000000004,3.5391000000000026,5.0,5.0
16,CHEMBL173368,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1c(O)ccc2ccccc12,600.0,active,399.44600000000014,4.994100000000005,4.0,4.0
17,CHEMBL92212,CCc1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1CC,160.0,active,358.47800000000007,4.691200000000005,4.0,4.0
18,CHEMBL88952,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc2c(c1)OC(C)(C)O2,85.0,active,342.43500000000006,4.662500000000005,2.0,4.0
19,CHEMBL92359,C[C@H](Cc1cc(O)c(O)cc1[N+](=O)[O-])[C@@H](C)Cc1cc(O)c(O)cc1[N+](=O)[O-],350.0,active,392.3640000000001,3.382800000000003,4.0,8.0
20,CHEMBL89275,CC(=O)c1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1C(C)=O,380.0,active,386.4440000000001,3.971600000000004,4.0,6.0
21,CHEMBL89283,C[C@H](Cc1cc(O)c(O)cc1Br)[C@@H](C)Cc1cc(O)c(O)cc1Br,83.0,active,460.1620000000001,5.091400000000005,4.0,4.0
22,CHEMBL316139,COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(O)c2)ccc1O,250.0,active,316.397,3.8694000000000046,3.0,4.0
23,CHEMBL7660,O=C1CCN(c2ccccc2)N1,420.0,active,162.192,0.9279,1.0,2.0
24,CHEMBL91531,COc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(O)c2)cc1OC,580.0,active,330.42400000000004,4.172400000000004,2.0,4.0
25,CHEMBL314941,C[C@H](Cc1cc(O)c(O)cc1Cl)[C@@H](C)Cc1cc(O)c(O)cc1Cl,65.0,active,371.26,4.873200000000005,4.0,4.0
26,CHEMBL81848,O=C(CCc1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,1450.0,intermediate,392.41100000000006,3.6270000000000016,5.0,5.0
27,CHEMBL79402,O=C(Nc1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,1510.0,intermediate,379.37200000000007,3.699700000000001,6.0,5.0
28,CHEMBL79109,O=C(Nc1ccc(/N=C(\S)Nc2ccc(O)c(O)c2)cc1)c1ccccc1O,1950.0,intermediate,395.4400000000001,4.085100000000002,6.0,5.0
29,CHEMBL81583,O=C(CCc1cccc(NC(=O)c2ccccc2O)c1)Nc1ccc(O)c(O)c1,1670.0,intermediate,392.41100000000006,3.6270000000000024,5.0,5.0
30,CHEMBL420775,O=C(/C=C/c1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,1470.0,intermediate,390.3950000000001,3.707600000000001,5.0,5.0
31,CHEMBL421710,O=C(Nc1ccc(O)c(O)c1)c1ccc(NC(=O)c2ccccc2O)cc1,1270.0,intermediate,364.3570000000001,3.3080000000000016,5.0,5.0
32,CHEMBL79275,O=C(Nc1ccc(O)c(O)c1)c1ccc(NCc2ccccc2O)cc1,1010.0,intermediate,350.374,3.6678000000000015,5.0,5.0
33,CHEMBL17815,CCCc1cc(Cl)c2oc(Cc3ccc(OC)cc3)c(C)c2c1O,40000.0,inactive,344.8380000000001,5.6521200000000045,1.0,3.0
34,CHEMBL157082,CCOC(=O)c1c2cccccc-2c2c(OCC)oc(=O)c(C#N)c12,24200.0,inactive,337.3310000000001,3.3448800000000025,0.0,6.0
35,CHEMBL274642,NC1=NN(c2cccc(C(F)(F)F)c2)CC1,213000.0,inactive,229.20499999999993,2.1877000000000004,1.0,3.0
36,CHEMBL186007,Oc1ccccc1Br,100000.0,inactive,173.009,2.1547,1.0,1.0
37,CHEMBL185651,Oc1cccc(Br)c1,100000.0,inactive,173.00900000000001,2.1547,1.0,1.0
38,CHEMBL57284,Oc1ccc(Br)cc1,55000.0,inactive,173.00900000000001,2.1547,1.0,1.0
39,CHEMBL184410,OCc1ccc(Br)cc1,100000.0,inactive,187.036,1.9413999999999998,1.0,1.0
40,CHEMBL187292,CCOc1ccc(Br)cc1,100000.0,inactive,201.063,2.847800000000001,0.0,1.0
41,CHEMBL186858,Oc1ccc(Br)cc1Br,34000.0,inactive,251.905,2.9172000000000002,1.0,1.0
42,CHEMBL111507,Oc1c(Br)cccc1Br,100000.0,inactive,251.905,2.9172000000000002,1.0,1.0
43,CHEMBL185893,CC(Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1,110.0,active,302.37,3.5664000000000033,4.0,4.0
44,CHEMBL362761,Oc1c(Br)c(Br)c(Br)c(Br)c1Oc1ccc(Br)cc1Br,1800.0,intermediate,659.586,7.759500000000003,1.0,2.0
45,CHEMBL186098,Oc1c(Br)cc(Br)c(Br)c1Oc1ccc(Br)cc1Br,5000.0,intermediate,580.69,6.9970000000000026,1.0,2.0
46,CHEMBL186099,COc1cc(Br)cc(Br)c1Oc1cc(Br)cc(Br)c1O,10000.0,inactive,531.8200000000002,6.243100000000003,1.0,3.0
47,CHEMBL150098,Oc1c(Br)cc(Br)cc1Oc1c(O)c(Br)c(Br)c(Br)c1Br,790.0,active,675.585,7.465100000000002,2.0,3.0
48,CHEMBL148503,Oc1c(Br)cc(Br)cc1Oc1c(Br)cc(Br)c(Br)c1O,2200.0,intermediate,596.6890000000001,6.702600000000003,2.0,3.0
49,CHEMBL187472,Oc1ccc(Br)cc1Oc1c(O)ccc(Br)c1Br,11000.0,inactive,438.89700000000005,5.177600000000003,2.0,3.0
