action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,232660,[],CHEMBL615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,BAO_0000201,BAO_0000357,single protein format,COc1ccc(-c2nc(O)c(-c3ccccc3)s2)cc1,,,CHEMBL1125582,J Med Chem,1991.0,,CHEMBL65940,,CHEMBL65940,,0,http://qudt.org/vocab/unit#Percent,120290,=,1,1,=,,Inhibition,%,,22.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,22.0
,,243163,[],CHEMBL615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Oc1nc(-c2ccccc2)sc1-c1ccccc1,,,CHEMBL1125582,J Med Chem,1991.0,,CHEMBL308001,,CHEMBL308001,,0,http://qudt.org/vocab/unit#Percent,120312,=,1,1,=,,Inhibition,%,,50.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,50.0
,,248509,[],CHEMBL872867,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,COC(=O)c1ccc(-c2nc(O)c(C)s2)cc1,,,CHEMBL1125582,J Med Chem,1991.0,,CHEMBL307979,,CHEMBL307979,,0,http://qudt.org/vocab/unit#Percent,120259,=,1,1,=,,Inhibition,%,,52.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,52.0
,,252702,[],CHEMBL872867,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 10 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Cc1sc(-c2ccccc2)nc1O,,,CHEMBL1125582,J Med Chem,1991.0,,CHEMBL304976,,CHEMBL304976,,0,http://qudt.org/vocab/unit#Percent,120249,=,1,1,=,,Inhibition,%,,44.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,44.0
,,255410,[],CHEMBL615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Oc1nc(-c2ccccc2)sc1CCc1ccccc1,,,CHEMBL1125582,J Med Chem,1991.0,,CHEMBL302965,,CHEMBL302965,,0,http://qudt.org/vocab/unit#Percent,120267,=,1,1,=,,Inhibition,%,,34.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,34.0
,,260839,[],CHEMBL615145,The compound was tested for the in vitro inhibition of 15-lipoxygenase of soybean at a concentration of 100 uM,B,,,BAO_0000201,BAO_0000357,single protein format,Oc1nc(-c2ccc(F)cc2)sc1-c1ccccc1,,,CHEMBL1125582,J Med Chem,1991.0,,CHEMBL68429,,CHEMBL68429,,0,http://qudt.org/vocab/unit#Percent,120293,=,1,1,=,,Inhibition,%,,16.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,Inhibition,%,UO_0000187,,16.0
,,347101,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(Cl)cc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '16.67', 'le': '0.32', 'lle': '1.91', 'sei': '7.13'}",CHEMBL177598,,CHEMBL177598,6.40,0,http://www.openphacts.org/units/Nanomolar,345662,=,1,1,=,,IC50,nM,,400.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.4
,,349716,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(C(=O)Nc2ccc(CCc3ccc(O)c(O)c3)cc2)c(O)c1,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '17.61', 'le': '0.32', 'lle': '2.25', 'sei': '7.13'}",CHEMBL175216,,CHEMBL175216,6.40,0,http://www.openphacts.org/units/Nanomolar,345653,=,1,1,=,,IC50,nM,,400.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,0.4
,,351222,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,"{'bei': '17.56', 'le': '0.33', 'lle': '1.74', 'sei': '6.56'}",CHEMBL52,NORDIHYDROGUAIARETIC ACID,CHEMBL52,5.31,0,http://www.openphacts.org/units/Nanomolar,345650,=,1,1,=,,IC50,nM,,4900.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,4.9
,,354099,[],CHEMBL800469,Inhibitory activity against rabbit reticulocyte 15-lipoxygenase was evaluated by measuring inhibition of the conversion of linoleic acid to hydroperoxide,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccc(CCc2ccc(O)c(O)c2)cc1)c1ccc(-c2ccccc2)cc1O,,,CHEMBL1128909,Bioorg Med Chem Lett,1996.0,,CHEMBL176728,,CHEMBL176728,,0,http://www.openphacts.org/units/Nanomolar,345658,>,1,1,>,,IC50,nM,,25000.0,CHEMBL2903,Homo sapiens,Arachidonate 15-lipoxygenase,9606,,,IC50,uM,UO_0000065,,25.0
